Animal type;Country;Weight kg;Body Length cm;Gender;Animal code;Latitude;Longitude;Animal name;Observation date;Data compiled by
;;;;;;;;;03.01.2024;James Johnson
;;;;;;;;;03.02.2024;James Johnson
European bison;Poland;930;335;male;;52.828845;23.820144;Szefu;01.03.2024;Anne Anthony
European bison;Poland;909;311;not determined;;52.830509;23.826849;;01.03.2024;Anne Anthony
European bison™;Poland;581;277;female;;52.834109;23.807093;;01.03.2024;Anne Anthony
European bisson;Poland;900;295;male;;52.834759;23.817201;;01.03.2024;Anne Anthony
European buster;Poland;620;250;female;;52.834960;23.820750;;01.03.2024;Anne Anthony
lynx;Hungary;24;76;male;;48.505494;20.551966;;01.03.2024;Anne Anthony
lynx?;Hungary;23;82;female;;48.506529;20.554548;;01.03.2024;Anne Anthony
red squirel;Poland;0.308;22;female;;52.241273;21.055745;Basia;01.03.2024;Anne Anthony
red squirrel;PL;0.348;20;female;;52.242060;21.057802;;01.03.2024;Anne Anthony
red squirrel;Poland;0.316;20;male;;52.240035;21.056188;Lolek;01.03.2024;Anne Anthony
red squirrel;Poland;0.34;21;;;52.240284;21.051948;;01.03.2024;Anne Anthony
red squirrel;Poland;0.333;21;male;;;;;01.03.2024;Anne Anthony
red squirrel;Poland;0.265;19;female;;52.240560;21.055899;;01.03.2024;Anne Anthony
red squirrel;Poland;;;male;;52.241177;21.052873;;01.03.2024;Anne Anthony
red squirrel;PL;0.261;22;female;;52.240833;21.052093;;01.03.2024;Anne Anthony
red squirrel;Poland;0.317;23;male;;52.241358;21.056352;;01.03.2024;Anne Anthony
red squirrel;Poland;0.328;21;male;;52.241905;21.050727;;01.03.2024;Anne Anthony
red squirrel;Hungary;0.305;21;male;;47.511401;18.949119;;01.03.2024;Anne Anthony
red squirrell;Poland;0.328;23;male;;52.241920;21.056347;;01.03.2024;Anne Anthony
red squirrel;Germany;0.294;19;male;;;;;01.03.2024;Bob Bobson
red squirrel;Germany;0.25;19;female;;;;;01.03.2024;Bob Bobson
red squirrel;Germany;0.262;21;male;;;;;01.03.2024;Bob Bobson
red squirrel;Germany;0.267;21;female;;;;;01.03.2024;Bob Bobson
red squirrel;Germany;0.269;22;male;;;;;01.03.2024;Bob Bobson
red squirrel;Germany;0.308;22;female;;;;;01.03.2024;Bob Bobson
red squirrel;Germany;0.308;19;male;;;;;01.03.2024;Bob Bobson
red squirrel;Germany;0.27;20;male;;;;;01.03.2024;Bob Bobson
red squirrel;Germany;0.32;20;male;;;;;01.03.2024;Bob Bobson
red squirrel;Germany;0.262;20;male;;;;;01.03.2024;Bob Bobson
red squirrel;Germany;0.256;21;male;;;;;01.03.2024;Bob Bobson
red squirrel;Germany;0.245;22;male;;;;;01.03.2024;Bob Bobson
red squirrel;Germany;0.292;19;male;;;;;01.03.2024;Bob Bobson
red squirrel;Germany;0.289;19;female;;;;;01.03.2024;Bob Bobson
red squirrel;Germany;0.308;22;male;;;;;01.03.2024;Bob Bobson
European bison;Slovakia;420;182;male;;49.054684;22.417189;;01.03.2024;John Johnson
European bison;Slovakia;511;266;female;;49.053629;22.421831;;01.03.2024;John Johnson
European bison;Slovakia;814;288;male;;49.053489;22.415229;;01.03.2024;John Johnson
European bison;Slovakia;130;141;female;;49.054166;22.422852;;01.03.2024;John Johnson
European bison;Slovakia;390;180;female;;49.052731;22.422675;;01.03.2024;John Johnson
European bison;Slovakia;355;179;male;;49.055974;22.415985;;01.03.2024;John Johnson
European bison;Slovakia;566;272;female;;49.053342;22.423867;;01.03.2024;John Johnson
European bison;Slovakia;393;152;not determined;;49.056471;22.422475;;01.03.2024;John Johnson
European bison™;Czech Republic;823;286;male;;50.636564;14.834553;;01.03.2024;John Johnson
European bison™;Slovakia;695;316;male;;49.055537;22.419428;;01.03.2024;John Johnson
hedgehog;Czech Republic;0.6;20;female;;50.636869;14.844555;;01.03.2024;John Johnson
hedgehog;Czech Republic;0.6;-16;male;;50.644733;14.835753;;01.03.2024;John Johnson
hedgehog;Czech Republic;1.2;31;male;;50.635766;14.844247;;01.03.2024;John Johnson
red squirrel;Slovakia;0.275;23;male;;48.185353;17.08322;;01.03.2024;John Johnson
wedgehod;Czech Republic;0.9;22;male;;50.642843;14.841240;;01.03.2024;John Johnson
red squirel;Poland;0.308;22;female;;52.241273;21.055745;Basia;01.03.2024;Anne Anthony
red squirrel;PL;0.348;20;female;;52.242060;21.057802;;01.03.2024;Anne Anthony
red squirrel;Poland;0.316;20;male;;52.240035;21.056188;Lolek;01.03.2024;Anne Anthony
red squirrel;Poland;0.34;21;;;52.240284;21.051948;;01.03.2024;Anne Anthony
red squirrel;Poland;0.333;21;male;;;;;01.03.2024;Anne Anthony
red squirrel;Poland;0.265;19;female;;52.240560;21.055899;;01.03.2024;Anne Anthony
red squirrel;Poland;;;male;;52.241177;21.052873;;01.03.2024;Anne Anthony
red squirrel;PL;0.261;22;female;;52.240833;21.052093;;01.03.2024;Anne Anthony
red squirrel;Poland;0.317;23;male;;52.241358;21.056352;;01.03.2024;Anne Anthony
red squirrel;Poland;0.328;21;male;;52.241905;21.050727;;01.03.2024;Anne Anthony
red squirrel;Hungary;0.305;21;male;;47.511401;18.949119;;01.03.2024;Anne Anthony
red squirrell;Poland;0.328;23;male;;52.241920;21.056347;;01.03.2024;Anne Anthony
lynx;Hungary;23;78;female;;48.504128;20.568479;;02.03.2024;Anne Anthony
lynx?;Poland;29;94;male;;52.809851;23.858071;;02.03.2024;Anne Anthony
red squirrel;Germany;0.244;22;female;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.299;21;male;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.284;20;female;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.289;20;female;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.284;21;male;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.314;22;male;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.262;19;female;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.258;20;male;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.297;21;male;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.255;22;female;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.28;22;male;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.293;22;male;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.295;20;male;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.28;20;male;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.281;20;male;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.245;21;female;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.283;21;male;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.27;19;male;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.315;22;male;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.254;17;female;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.249;19;male;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.298;21;male;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.314;19;female;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.28;20;male;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.251;19;male;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.293;20;female;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.301;20;male;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.271;17;male;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.275;20;male;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.314;19;female;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.304;21;male;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.308;20;male;;;;;02.03.2024;Bob Bobson
red squirrel;Germany;0.24;21;male;;;;;02.03.2024;Bob Bobson
European bison;Czech;402;162;female;;50.641008;14.836529;;02.03.2024;John Johnson
European bison;Czech Republic;535;295;male;;50.643406;14.836495;;02.03.2024;John Johnson
European buster;Czech Republic;572;251;female;;50.638945;14.845452;;02.03.2024;John Johnson
hedgehog;Czech Republic;0.9;20;female;;50.639869;14.849702;;02.03.2024;John Johnson
hedgehog;Czech Republic;0.7;16;female;;50.643039;14.840662;;02.03.2024;John Johnson
hedgehog;Czech Republic;0.7;14;female;;50.637879;14.838429;;02.03.2024;John Johnson
hedgehog;Czech Republic;1.1;32;male;;50.643254;14.843730;;02.03.2024;John Johnson
hedgehog;Czech Republic;0.5;20;male;;50.643854;14.837155;;02.03.2024;John Johnson
hedgehog;Czech Republic;1.1;22;female;;50.635584;14.837072;;02.03.2024;John Johnson
hedgehog;Czech Republic;1;20;female;;50.642723;14.837229;;02.03.2024;John Johnson
hedgehog;Czech Republic;0.7;13;female;;50.639389;14.844400;;02.03.2024;John Johnson
